method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std,runtime_seconds
no_memory,10,0,0.08333333333333333,0.0,0.0,0.25,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,10,0,3.0833333333333335,3.0,4.0,2.25,4,4,4,3,4,3,0,0,1,0.0,0.0
retrieval,10,0,2.0833333333333335,2.0,3.0,1.25,3,3,3,2,3,2,0,0,1,0.0,0.0
smtr_uniform,10,0,3.0833333333333335,3.0,3.0,3.25,3,3,3,3,3,3,0,0,0,0.0,0.0001
smtr_receiver,10,0,3.0833333333333335,3.0,3.0,3.25,3,3,3,3,3,3,0,0,0,0.0,0.0
no_memory,10,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,10,1,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0,0.0
retrieval,10,1,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0,0.0
smtr_uniform,10,1,0.6666666666666666,1.0,0.0,1.0,1,1,1,1,0,1,0,0,0,0.0,0.0
smtr_receiver,10,1,0.6666666666666666,1.0,0.0,1.0,1,0,1,1,0,1,0,0,0,0.4714045207910317,0.0
no_memory,10,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,10,2,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0,0.0
retrieval,10,2,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0,0.0
smtr_uniform,10,2,0.6666666666666666,1.0,0.0,1.0,1,1,1,1,0,1,0,0,0,0.0,0.0
smtr_receiver,10,2,0.6666666666666666,1.0,0.0,1.0,1,0,1,1,0,1,0,0,0,0.4714045207910317,0.0
no_memory,100,1,0.1111111111111111,0.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0,0.0
full_memory,100,1,-0.22222222222222224,0.0,0.0,-0.6666666666666667,3,3,3,0,0,0,0,0,1,0.0,0.0
retrieval,100,1,-0.22222222222222224,0.0,0.0,-0.6666666666666667,3,3,3,0,0,0,0,0,1,0.0,0.0
smtr_uniform,100,1,0.1111111111111111,0.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0,0.0
smtr_receiver,100,1,0.1111111111111111,0.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0,0.0
no_memory,100,2,0.2222222222222222,0.0,0.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0,0.0
