variant,method,final_reward_mean,final_reward_std,performance_drop,recovery_episodes,harmful_retention
false_spurious_r0.1,full_memory,1.0,0.0,,,1.0
false_spurious_r0.1,retrieval,0.96,0.07999999999999999,,,1.0
false_spurious_r0.1,reflexion,0.9399999999999998,0.04898979485566355,,,1.0
false_spurious_r0.1,heuristic,0.9,0.10954451150103324,,,1.0
false_spurious_r0.1,agemem,0.8400000000000001,0.10198039027185571,,,0.4909090909090909
false_spurious_r0.1,smtr_tci,0.9800000000000001,0.03999999999999999,,,0.21568627450980393
false_spurious_r0.2,full_memory,0.96,0.04898979485566354,,,1.0
false_spurious_r0.2,retrieval,0.9399999999999998,0.04898979485566355,,,1.0
false_spurious_r0.2,reflexion,0.9400000000000001,0.07999999999999999,,,1.0
false_spurious_r0.2,heuristic,0.9199999999999999,0.039999999999999994,,,1.0
false_spurious_r0.2,agemem,0.8800000000000001,0.11661903789690603,,,0.5172413793103449
false_spurious_r0.2,smtr_tci,1.0,0.0,,,0.1875
false_spurious_r0.3,full_memory,0.86,0.10198039027185571,,,1.0
false_spurious_r0.3,retrieval,0.78,0.16,,,1.0
false_spurious_r0.3,reflexion,0.8400000000000001,0.10198039027185571,,,1.0
false_spurious_r0.3,heuristic,0.82,0.19390719429665315,,,1.0
false_spurious_r0.3,agemem,0.78,0.11661903789690603,,,0.46835443037974683
false_spurious_r0.3,smtr_tci,0.9800000000000001,0.03999999999999999,,,0.2
outdated,full_memory,0.64,0.12000000000000001,0.10333333333333332,28.6,1.0
outdated,retrieval,0.8800000000000001,0.03999999999999999,-0.03500000000000001,15.2,1.0
outdated,reflexion,0.8799999999999999,0.0748331477354788,-0.025000000000000022,15.2,1.0
outdated,heuristic,0.62,0.11661903789690603,0.14333333333333334,22.8,1.0
outdated,agemem,0.62,0.21354156504062624,0.15666666666666665,32.0,0.5172413793103449
outdated,smtr_tci,0.96,0.07999999999999999,-0.07833333333333332,16.2,0.1839080459770115
